largura_petala,comprimento_petala,classe
0.0512670,0.6995600,1
-0.0927420,0.6849400,1
-0.2137100,0.6922500,1
-0.3750000,0.5021900,1
-0.5132500,0.4656400,1
-0.5247700,0.2098000,1
-0.3980400,0.0343570,1
-0.3058800,-0.1922500,1
0.0167050,-0.4042400,1
0.1319100,-0.5138900,1
0.3853700,-0.5650600,1
0.5293800,-0.5212000,1
0.6388200,-0.2434200,1
0.7367500,-0.1849400,1
0.5466600,0.4875700,1
0.3220000,0.5826000,1
0.1664700,0.5387400,1
-0.0466590,0.8165200,1
-0.1733900,0.6995600,1
-0.4786900,0.6337700,1
-0.6054100,0.5972200,1
-0.6284600,0.3340600,1
-0.5938900,0.0051170,1
-0.4210800,-0.2726600,1
-0.1157800,-0.3969300,1
0.2010400,-0.6016100,1
0.4660100,-0.5358200,1
0.6733900,-0.5358200,1
-0.1388200,0.5460500,1
-0.2943500,0.7799700,1
-0.2655500,0.9627200,1
-0.1618700,0.8019000,1
-0.1733900,0.6483900,1
-0.2828300,0.4729500,1
-0.3634800,0.3121300,1
-0.3001200,0.0270470,1
-0.2367500,-0.2141800,1
-0.0639400,-0.1849400,1
0.0627880,-0.1630100,1
0.2298400,-0.4115500,1
0.2932000,-0.2288000,1
0.4832900,-0.1849400,1
0.6445900,-0.1410800,1
0.4602500,0.0124270,1
0.6273000,0.1586300,1
0.5754600,0.2682700,1
0.7252300,0.4437100,1
0.2240800,0.5241200,1
0.4429700,0.6703200,1
0.3220000,0.6922500,1
0.1376700,0.5752900,1
-0.0063364,0.3998500,1
-0.0927420,0.5533600,1
-0.2079500,0.3559900,1
-0.2079500,0.1732500,1
-0.4383600,0.2171100,1
-0.2194700,-0.0168130,1
-0.1388200,-0.2726600,1
0.1837600,0.9334800,0
0.2240800,0.7799700,0
0.2989600,0.6191500,0
0.5063400,0.7580400,0
0.6157800,0.7288000,0
0.6042600,0.5972200,0
0.7655500,0.5021900,0
0.9268400,0.3633000,0
0.8231600,0.2755800,0
0.9614100,0.0855260,0
0.9383600,0.0124270,0
0.8634800,-0.0826020,0
0.8980400,-0.2068700,0
0.8519600,-0.3676900,0
0.8289200,-0.5212000,0
0.7943500,-0.5577500,0
0.5927400,-0.7405000,0
0.5178600,-0.5943000,0
0.4660100,-0.4188600,0
0.3508100,-0.5796800,0
0.2874400,-0.7697400,0
0.0858290,-0.7551200,0
0.1491900,-0.5796800,0
-0.1330600,-0.4481000,0
-0.4095600,-0.4115500,0
-0.3922800,-0.2580400,0
-0.7436600,-0.2580400,0
-0.6975800,0.0416670,0
-0.7551800,0.2902000,0
-0.6975800,0.6849400,0
-0.4038000,0.7068700,0
-0.3807600,0.9188600,0
-0.5074900,0.9042400,0
-0.5478100,0.7068700,0
0.1031100,0.7799700,0
0.0570280,0.9188600,0
-0.1042600,0.9919600,0
-0.0812210,1.1089000,0
0.2874400,1.0870000,0
0.3968900,0.8238300,0
0.6388200,0.8896200,0
0.8231600,0.6630100,0
0.6733900,0.6410800,0
1.0709000,0.1001500,0
-0.0466590,-0.5796800,0
-0.2367500,-0.6381600,0
-0.1503500,-0.3676900,0
-0.4902100,-0.3019000,0
-0.4671700,-0.1337700,0
-0.2885900,-0.0606730,0
-0.6111800,-0.0679820,0
-0.6630200,-0.2141800,0
-0.5996500,-0.4188600,0
-0.7263800,-0.0826020,0
-0.8300700,0.3121300,0
-0.7206200,0.5387400,0
-0.5938900,0.4948800,0
-0.4844500,0.9992700,0
-0.0063364,0.9992700,0
0.6326500,-0.0306120,0
